test	size	container	runtime	min	max	avg	var	dev
emplace	1000	vector	4843	1.80900	24.85700	4.84343	3.94930	1.98728
emplace	1000	tuple	4994	3.96600	17.46900	4.99493	0.42579	0.65252
emplace	1000	map	41239	38.32000	72.34300	41.23992	19.86244	4.45673
array	1000	vector	935	0.91400	2.55600	0.93589	0.00727	0.08527
array	1000	tuple	1008	0.97700	8.57100	1.00815	0.06299	0.25098
array	1000	map	32687	30.40400	59.81900	32.68706	14.32068	3.78427
iterator	1000	vector	662	0.62400	14.95600	0.66289	0.20657	0.45450
iterator	1000	tuple	741	0.64300	15.95000	0.74167	0.32764	0.57239
iterator	1000	map	6154	5.65100	20.43000	6.15477	3.41907	1.84907
find	1000	map	30807	28.71000	61.02600	30.80728	13.48297	3.67192
find	1000	tuple	31144	30.10400	57.84800	31.14465	8.71925	2.95284
lower_bound	1000	tuple	70776	68.58500	122.46400	70.77668	31.03177	5.57062
lower_bound	1000	map	71041	67.63500	142.87900	71.04123	40.04799	6.32835
emplace	2000	vector	4058	3.71100	16.80500	4.05896	0.84096	0.91704
emplace	2000	tuple	4562	4.37200	16.84100	4.56219	0.19148	0.43759
emplace	2000	map	83435	77.23900	132.73500	83.43560	69.55226	8.33980
array	2000	vector	1818	1.80400	2.94900	1.81872	0.00765	0.08745
array	2000	tuple	1997	1.85400	16.18100	1.99754	1.58097	1.25737
array	2000	map	72285	68.45600	118.79400	72.28504	47.77690	6.91208
iterator	2000	vector	1340	1.29500	4.98500	1.34028	0.01373	0.11718
iterator	2000	tuple	1454	1.39400	12.22500	1.45412	0.12030	0.34685
iterator	2000	map	13493	12.46300	37.31100	13.49375	4.87348	2.20760
find	2000	tuple	61507	60.02000	113.55300	61.50739	17.15234	4.14154
find	2000	map	67966	65.08000	113.60200	67.96648	38.11917	6.17407
lower_bound	2000	tuple	139106	137.19900	190.18600	139.10628	27.45919	5.24015
lower_bound	2000	map	148311	142.53000	212.15800	148.31136	108.59873	10.42107
emplace	3000	vector	6490	5.51400	32.53000	6.49023	4.43878	2.10684
emplace	3000	tuple	6796	6.53100	19.45600	6.79658	0.51729	0.71923
emplace	3000	map	122080	116.07900	187.65800	122.08020	57.74552	7.59905
array	3000	tuple	2708	2.68700	10.53900	2.70856	0.07115	0.26673
array	3000	vector	2722	2.68800	15.04500	2.72213	0.18230	0.42696
array	3000	map	113303	108.69200	173.89800	113.30354	73.41829	8.56845
iterator	3000	vector	1948	1.89400	3.08800	1.94828	0.00190	0.04356
iterator	3000	tuple	2236	1.91200	16.49400	2.23645	1.28266	1.13254
iterator	3000	map	19231	17.75700	48.57900	19.23130	6.58592	2.56630
find	3000	tuple	93126	90.02800	168.49500	93.12659	33.61571	5.79791
find	3000	map	107284	103.77400	158.81000	107.28486	57.10671	7.55690
lower_bound	3000	tuple	208472	205.87600	256.36900	208.47240	38.17299	6.17843
lower_bound	3000	map	230135	222.96700	341.28900	230.13510	179.80923	13.40930
emplace	4000	vector	8203	7.39300	21.98600	8.20375	1.89085	1.37508
emplace	4000	tuple	9016	8.69000	18.67900	9.01661	0.29434	0.54253
emplace	4000	map	164655	155.55600	262.87400	164.65527	80.66806	8.98154
array	4000	tuple	3682	3.57200	34.17500	3.68213	1.16170	1.07782
array	4000	vector	3692	3.57200	16.24800	3.69269	0.38304	0.61890
array	4000	map	157091	152.41600	247.92800	157.09155	95.74157	9.78476
iterator	4000	vector	2722	2.58900	16.87200	2.72255	0.81524	0.90291
iterator	4000	tuple	2826	2.59100	32.42100	2.82607	1.71591	1.30993
iterator	4000	map	30977	28.88400	63.82700	30.97752	11.14259	3.33805
find	4000	tuple	122793	120.08600	199.76600	122.79333	43.59803	6.60288
find	4000	map	157091	150.64800	284.66300	157.09189	146.19783	12.09123
lower_bound	4000	tuple	278478	274.54100	330.80900	278.47802	64.07831	8.00489
lower_bound	4000	map	321041	309.63800	403.69700	321.04194	148.96220	12.20501
emplace	5000	vector	9655	9.10700	27.00600	9.65518	1.93358	1.39053
emplace	5000	tuple	11879	11.03400	30.72700	11.87940	1.89245	1.37566
emplace	5000	map	207424	194.91200	380.91700	207.42447	155.95604	12.48824
array	5000	vector	4569	4.49600	16.98900	4.56969	0.34926	0.59098
array	5000	tuple	4853	4.79200	15.26300	4.85332	0.13190	0.36318
array	5000	map	216598	200.74200	342.33400	216.59872	177.49482	13.32272
iterator	5000	tuple	3448	3.35000	18.31700	3.44807	0.23145	0.48109
iterator	5000	vector	3615	3.51900	12.03800	3.61531	0.07673	0.27700
iterator	5000	map	44413	38.20000	110.03400	44.41310	65.16001	8.07218
find	5000	tuple	159986	150.21000	315.84200	159.98604	179.37965	13.39327
find	5000	map	206259	204.00200	250.87100	206.25969	24.08214	4.90736
lower_bound	5000	tuple	349443	343.22900	446.22800	349.44309	138.74218	11.77889
lower_bound	5000	map	419387	401.74400	546.92200	419.38795	406.94617	20.17291
emplace	6000	vector	12205	11.20700	37.94700	12.20531	4.46686	2.11350
emplace	6000	tuple	14597	13.41300	31.35800	14.59752	3.27895	1.81079
emplace	6000	map	248311	235.27100	522.06500	248.31161	217.60600	14.75147
array	6000	tuple	5505	5.39400	16.43800	5.50547	0.59291	0.77001
array	6000	vector	5666	5.43600	18.40700	5.66602	1.03567	1.01768
array	6000	map	250729	241.31200	335.41200	250.72988	259.98743	16.12413
iterator	6000	tuple	4189	4.04700	17.85800	4.18949	0.24259	0.49253
iterator	6000	vector	5235	4.57400	23.59300	5.23564	3.59530	1.89613
iterator	6000	map	52964	45.60500	473.98000	52.96419	407.53277	20.18744
find	6000	tuple	182993	180.19000	233.91600	182.99372	35.66643	5.97214
find	6000	map	240304	232.49100	338.69800	240.30432	201.86146	14.20780
lower_bound	6000	tuple	421534	411.84900	564.85500	421.53469	307.04080	17.52258
lower_bound	6000	map	500853	478.21800	671.96300	500.85358	503.65505	22.44226
emplace	7000	vector	16020	14.28700	45.91800	16.02078	7.22215	2.68741
emplace	7000	tuple	17374	15.79600	33.71900	17.37458	4.74136	2.17747
emplace	7000	map	288111	272.49500	373.32700	288.11170	128.05785	11.31626
array	7000	tuple	6522	6.37800	18.99100	6.52226	0.44115	0.66419
array	7000	vector	6766	6.44100	16.67800	6.76680	0.87738	0.93669
array	7000	map	302099	293.60000	447.87000	302.09968	240.00587	15.49212
iterator	7000	tuple	4871	4.73700	19.98500	4.87191	0.46681	0.68323
iterator	7000	vector	5429	5.21900	17.98000	5.42909	0.53095	0.72867
iterator	7000	map	57202	50.77600	145.02000	57.20281	112.13946	10.58959
find	7000	tuple	213854	210.43500	259.39000	213.85455	50.67921	7.11893
find	7000	map	291940	281.58200	366.93600	291.94074	266.98858	16.33979
lower_bound	7000	tuple	506193	480.90300	702.43200	506.19372	584.28663	24.17202
lower_bound	7000	map	627893	580.39900	762.98900	627.89325	869.59077	29.48882
emplace	8000	vector	17112	15.48300	49.01200	17.11233	10.18972	3.19213
emplace	8000	tuple	19407	17.83800	35.40900	19.40741	5.05265	2.24781
emplace	8000	map	331615	315.36900	478.73900	331.61512	209.53226	14.47523
array	8000	vector	7458	7.34900	12.53100	7.45800	0.09466	0.30767
array	8000	tuple	7836	7.67600	25.25600	7.83641	0.65716	0.81065
array	8000	map	344869	338.08400	471.33500	344.86950	234.83457	15.32431
iterator	8000	tuple	6137	5.83600	24.76500	6.13735	1.51158	1.22946
iterator	8000	vector	6682	6.47300	15.98400	6.68214	0.55236	0.74321
iterator	8000	map	66268	62.55900	173.73500	66.26884	44.99905	6.70813
find	8000	tuple	247604	240.07300	388.87700	247.60494	148.61240	12.19067
find	8000	map	334860	322.49000	449.91400	334.86038	226.38772	15.04619
lower_bound	8000	tuple	569508	549.24700	732.01800	569.50805	426.28347	20.64663
lower_bound	8000	map	703582	681.76100	888.07100	703.58213	713.35795	26.70876
emplace	9000	vector	19030	17.62600	70.10200	19.03019	8.09941	2.84595
emplace	9000	tuple	22563	21.08900	49.46800	22.56373	7.78115	2.78947
emplace	9000	map	372818	350.57200	505.47100	372.81858	279.12095	16.70691
array	9000	vector	8934	8.68200	20.19400	8.93476	0.80187	0.89547
array	9000	tuple	9026	8.77100	22.89700	9.02609	1.51324	1.23014
array	9000	map	402788	392.35600	675.96300	402.78809	476.86206	21.83717
