test	size	container	runtime	min	max	avg	var	dev
emplace	1000	tuple	3334	1.90100	15.13200	3.33421	0.33187	0.57608
emplace	1000	vector	4827	2.28400	36.73100	4.82789	4.31741	2.07784
emplace	1000	map	42876	37.97700	83.70000	42.87612	49.99771	7.07091
array	1000	tuple	951	0.91500	13.30500	0.95184	0.31509	0.56133
array	1000	vector	1039	0.92000	13.43500	1.03937	0.48445	0.69602
array	1000	map	31750	29.96700	59.23100	31.75085	11.46409	3.38587
iterator	1000	vector	628	0.62300	1.24900	0.62848	0.00041	0.02036
iterator	1000	tuple	759	0.62400	13.23800	0.75946	1.38368	1.17630
iterator	1000	map	5930	5.71400	18.36200	5.93022	1.87332	1.36869
find	1000	tuple	6454	6.32800	20.53400	6.45407	0.45265	0.67280
find	1000	map	31119	28.77700	71.76400	31.11909	14.74601	3.84005
lower_bound	1000	tuple	17544	16.36200	42.99800	17.54454	8.02882	2.83352
lower_bound	1000	map	30158	27.93500	59.68000	30.15833	16.51755	4.06418
emplace	2000	vector	3935	3.65100	20.21400	3.93510	1.68199	1.29692
emplace	2000	tuple	4697	4.32900	31.42400	4.69718	1.66915	1.29196
emplace	2000	map	81959	76.04500	159.76400	81.95986	82.94113	9.10720
array	2000	vector	1889	1.80300	14.31300	1.88942	0.77953	0.88291
array	2000	tuple	1969	1.91800	23.95500	1.96965	0.55468	0.74477
array	2000	map	76703	71.32300	135.45700	76.70312	53.88269	7.34048
iterator	2000	vector	1385	1.34900	2.36100	1.38527	0.00172	0.04148
iterator	2000	tuple	1482	1.36200	35.08200	1.48287	1.34060	1.15784
iterator	2000	map	12014	11.72300	47.11800	12.01451	1.79337	1.33917
find	2000	tuple	13606	13.36100	24.22700	13.60697	0.14102	0.37552
find	2000	map	71195	68.74700	145.97000	71.19536	39.08307	6.25165
lower_bound	2000	tuple	35149	32.74200	67.60000	35.14983	6.56519	2.56226
lower_bound	2000	map	69413	67.14000	129.45100	69.41351	33.50599	5.78844
emplace	3000	vector	6141	5.56600	18.47100	6.14164	2.13007	1.45948
emplace	3000	tuple	11078	9.42700	36.30300	11.07866	5.43665	2.33166
emplace	3000	map	126241	115.54800	271.31800	126.24157	227.77279	15.09214
array	3000	vector	2866	2.85700	3.74100	2.86624	0.00081	0.02842
array	3000	tuple	2993	2.68900	17.64600	2.99332	1.32120	1.14944
array	3000	map	115345	108.59200	186.48900	115.34584	120.07590	10.95791
iterator	3000	vector	2058	1.95000	14.53000	2.05823	0.17455	0.41779
iterator	3000	tuple	2105	1.95900	15.67800	2.10585	0.31038	0.55712
iterator	3000	map	19088	17.44700	45.17800	19.08844	8.25771	2.87362
find	3000	tuple	19965	18.85000	41.54600	19.96512	5.58760	2.36381
find	3000	map	109875	103.69500	168.66200	109.87536	82.26839	9.07019
lower_bound	3000	tuple	52011	49.09400	106.20400	52.01200	23.91464	4.89026
lower_bound	3000	map	109748	102.57300	212.09200	109.74848	131.44922	11.46513
emplace	4000	vector	7589	7.24000	20.84800	7.58904	2.09403	1.44708
emplace	4000	tuple	9575	8.94200	26.02100	9.57513	3.33682	1.82670
emplace	4000	map	169111	156.08400	271.53500	169.11109	272.13534	16.49653
array	4000	vector	3813	3.57400	16.36000	3.81389	1.71709	1.31038
array	4000	tuple	3835	3.57300	19.57600	3.83567	2.10742	1.45170
array	4000	map	159085	151.53900	266.92300	159.08548	152.41779	12.34576
iterator	4000	vector	2676	2.56300	15.13100	2.67633	0.17930	0.42343
iterator	4000	tuple	2771	2.54200	24.75000	2.77141	1.46948	1.21222
iterator	4000	map	32873	29.68900	64.85700	32.87379	14.03585	3.74644
find	4000	tuple	26595	25.50900	51.67700	26.59521	9.07891	3.01312
find	4000	map	154112	147.26700	229.71900	154.11257	114.08378	10.68100
lower_bound	4000	tuple	68735	65.46600	109.69600	68.73502	31.23065	5.58844
lower_bound	4000	map	152224	143.67200	234.00300	152.22428	145.82506	12.07580
emplace	5000	vector	9964	9.31700	31.22100	9.96464	2.12415	1.45745
emplace	5000	tuple	17934	16.28700	44.57700	17.93416	3.92702	1.98167
emplace	5000	map	212496	195.44200	357.07300	212.49641	357.36101	18.90399
array	5000	vector	4642	4.45700	17.09500	4.64295	0.68604	0.82828
array	5000	tuple	4697	4.46100	17.28000	4.69789	2.12446	1.45755
array	5000	map	211829	199.82800	311.67300	211.82930	269.96877	16.43073
iterator	5000	tuple	3415	3.16500	18.21600	3.41532	1.50599	1.22719
iterator	5000	vector	3537	3.21100	15.76600	3.53776	0.99430	0.99715
iterator	5000	map	41373	37.58800	108.21000	41.37367	27.28500	5.22350
find	5000	tuple	32676	31.85000	57.83000	32.67652	6.75202	2.59847
find	5000	map	202993	194.82700	302.60800	202.99339	175.28018	13.23934
lower_bound	5000	tuple	85495	81.84800	138.30700	85.49533	39.92945	6.31898
lower_bound	5000	map	199310	189.43500	288.93300	199.31063	170.91069	13.07328
emplace	6000	vector	12237	11.24800	33.57300	12.23720	5.30256	2.30273
emplace	6000	tuple	14196	13.31100	47.58700	14.19606	5.94878	2.43901
emplace	6000	map	256153	235.18500	395.47300	256.15359	453.14171	21.28713
array	6000	vector	5579	5.38600	18.22200	5.57948	0.65873	0.81162
array	6000	tuple	5707	5.47100	18.42600	5.70770	2.01641	1.42000
array	6000	map	252433	240.27700	349.48900	252.43336	298.62642	17.28081
iterator	6000	tuple	3979	3.84900	17.44200	3.97964	0.65791	0.81111
iterator	6000	vector	4414	4.10800	16.96700	4.41474	1.02396	1.01191
iterator	6000	map	47988	44.42300	84.29700	47.98808	22.56607	4.75038
find	6000	tuple	40033	37.70200	76.53700	40.03305	22.68817	4.76321
find	6000	map	242630	232.11000	347.36500	242.63045	243.87109	15.61637
lower_bound	6000	tuple	102421	98.22500	146.23100	102.42144	47.91073	6.92176
lower_bound	6000	map	245516	231.78300	325.67600	245.51667	260.54249	16.14133
emplace	7000	vector	15316	13.87500	32.83200	15.31641	4.48925	2.11878
emplace	7000	tuple	25309	23.18800	52.27900	25.30939	6.71901	2.59210
emplace	7000	map	296833	271.34900	425.24700	296.83310	351.13664	18.73864
array	7000	vector	6683	6.31400	21.88200	6.68390	1.74445	1.32077
array	7000	tuple	6888	6.51700	19.34500	6.88856	2.03870	1.42783
array	7000	map	307173	292.97800	442.42600	307.17371	431.05580	20.76188
iterator	7000	vector	4781	4.49100	17.35400	4.78190	0.81803	0.90445
iterator	7000	tuple	5519	5.14000	19.29900	5.51984	1.91998	1.38563
iterator	7000	map	60663	53.60200	139.96300	60.66309	117.93299	10.85970
find	7000	tuple	61473	44.59600	125.10500	61.47309	415.69017	20.38848
find	7000	map	297313	281.39900	415.03500	297.31379	378.96550	19.46704
lower_bound	7000	tuple	118334	114.58400	186.29900	118.33428	64.16327	8.01020
lower_bound	7000	map	299240	277.94400	392.52800	299.24059	177.26171	13.31397
emplace	8000	vector	16580	15.29400	48.74600	16.58030	4.08640	2.02148
emplace	8000	tuple	19242	17.99700	60.17900	19.24201	6.15356	2.48064
emplace	8000	map	338200	311.68000	457.01100	338.20037	424.28625	20.59821
array	8000	vector	7921	7.39800	20.83600	7.92170	0.94200	0.97057
array	8000	tuple	8035	7.51000	22.78300	8.03525	2.46288	1.56936
array	8000	map	353163	337.28100	481.53800	353.16389	403.16890	20.07907
iterator	8000	tuple	6129	5.72400	31.30300	6.12957	1.58879	1.26047
iterator	8000	vector	6774	6.34700	19.55500	6.77406	1.63851	1.28004
iterator	8000	map	66824	61.87800	133.29300	66.82487	57.72856	7.59793
find	8000	tuple	54450	50.23900	98.45800	54.45009	28.47968	5.33664
find	8000	map	338119	323.04800	462.78600	338.11922	336.59948	18.34665
lower_bound	8000	tuple	136766	130.93400	210.39600	136.76616	93.06809	9.64718
lower_bound	8000	map	334126	317.81400	471.23200	334.12686	454.67290	21.32306
emplace	9000	vector	18890	17.40100	47.66700	18.89037	6.83559	2.61450
emplace	9000	tuple	32526	27.94500	54.48700	32.52639	6.21474	2.49294
emplace	9000	map	379499	354.11500	605.82800	379.49930	502.34845	22.41313
array	9000	tuple	9204	8.73600	27.58000	9.20472	2.57510	1.60471
array	9000	vector	9285	8.71300	24.98700	9.28525	2.57551	1.60484
array	9000	map	410892	392.65800	570.62400	410.89251	517.44005	22.74731
iterator	9000	tuple	7269	6.87500	21.72700	7.26960	1.16521	1.07945
iterator	9000	vector	7297	7.10200	19.81200	7.29760	0.49901	0.70641
iterator	9000	map	70527	65.47800	135.46000	70.52774	42.15124	6.49240
find	9000	tuple	59860	56.57300	91.82100	59.86057	15.17514	3.89553
find	9000	map	388931	376.53300	481.94600	388.93150	221.39371	14.87930
lower_bound	9000	tuple	153874	147.33800	250.48400	153.87474	99.19581	9.95971
lower_bound	9000	map	392023	370.60600	805.53300	392.02327	817.96092	28.60002
emplace	10000	vector	23580	20.49100	56.26200	23.58083	17.88839	4.22947
emplace	10000	tuple	24644	23.05500	80.43200	24.64467	6.79467	2.60666
emplace	10000	map	422910	391.44000	618.16200	422.91025	560.80196	23.68126
array	10000	vector	10080	9.60200	19.29100	10.08052	1.42257	1.19272
array	10000	tuple	10235	10.07500	35.37500	10.23579	0.74092	0.86077
array	10000	map	473186	439.18500	687.91200	473.18690	2424.07641	49.23491
iterator	10000	vector	8839	8.63000	17.98300	8.83900	0.22424	0.47354
iterator	10000	tuple	8913	8.68000	44.27200	8.91349	1.45098	1.20457
iterator	10000	map	89989	82.00500	323.38000	89.98931	293.89615	17.14340
find	10000	tuple	68961	62.86900	148.04000	68.96134	97.07596	9.85271
find	10000	map	451965	424.11700	749.95000	451.96589	1257.69050	35.46393
lower_bound	10000	tuple	169340	163.71700	231.68000	169.34018	110.43014	10.50857
lower_bound	10000	map	445281	422.68300	616.79200	445.28172	736.74885	27.14312
emplace	11000	vector	24725	22.54100	50.39100	24.72581	8.84755	2.97448
emplace	11000	tuple	39896	36.55300	71.85900	39.89658	11.28392	3.35916
emplace	11000	map	465291	428.46700	673.54600	465.29110	915.61868	30.25919
array	11000	vector	11854	11.26400	27.73100	11.85455	3.70194	1.92404
array	11000	tuple	12016	11.56800	31.36300	12.01659	1.95770	1.39918
array	11000	map	531927	509.04500	1015.34100	531.92789	1068.60111	32.68946
iterator	11000	vector	10019	9.40300	27.52100	10.01947	1.88184	1.37180
iterator	11000	tuple	10369	9.79200	27.98000	10.36974	2.34663	1.53187
iterator	11000	map	89760	84.04200	273.50100	89.76003	83.77411	9.15282
find	11000	tuple	73159	69.02100	137.30200	73.15955	46.23212	6.79942
find	11000	map	489719	463.08200	844.03300	489.71953	1074.28378	32.77627
lower_bound	11000	tuple	188190	180.09600	253.71100	188.19064	121.46588	11.02116
lower_bound	11000	map	476906	457.47400	715.28000	476.90670	718.18045	26.79889
